edge_id,old_rfc,new_rfc,relation_type,total_citers,cites_old,cites_new,cites_both,takeover_ratio
500,3209,4420,updates,238,238,7,7,0.029400
501,3473,4420,updates,138,138,7,7,0.050700
502,2222,4422,obsoletes,108,43,69,4,0.638900
503,2780,4443,updates,149,34,119,4,0.798700
504,2463,4443,obsoletes,152,34,119,1,0.782900
505,2796,4456,obsoletes,36,12,25,1,0.694400
506,1966,4456,obsoletes,32,7,25,0,0.781200
507,2088,4466,updates,32,9,27,4,0.843800
508,2342,4466,updates,33,11,27,5,0.818200
509,3501,4466,updates,129,129,27,27,0.209300
510,3502,4466,updates,31,9,27,5,0.871000
511,3516,4466,updates,34,10,27,3,0.794100
512,3463,4468,updates,32,25,8,1,0.250000
513,3501,4469,updates,129,129,9,9,0.069800
514,4035,4470,updates,121,118,9,6,0.074400
515,4034,4470,updates,124,121,9,6,0.072600
516,3279,4491,updates,58,55,4,1,0.069000
517,2205,4495,updates,210,210,4,4,0.019000
518,2021,4502,obsoletes,37,28,9,0,0.243200
519,1832,4506,obsoletes,51,23,31,3,0.607800
520,2251,4510,obsoletes,108,70,44,6,0.407400
521,2252,4510,obsoletes,89,48,44,3,0.494400
522,2253,4510,obsoletes,74,32,44,2,0.594600
523,2254,4510,obsoletes,55,12,44,1,0.800000
524,2255,4510,obsoletes,57,14,44,1,0.771900
525,2256,4510,obsoletes,63,23,44,4,0.698400
526,2829,4510,obsoletes,61,18,44,1,0.721300
527,2830,4510,obsoletes,59,17,44,2,0.745800
528,3377,4510,obsoletes,71,36,44,9,0.619700
529,3771,4510,obsoletes,44,1,44,1,1.000000
530,2251,4511,obsoletes,105,70,41,6,0.390500
531,2830,4511,obsoletes,55,17,41,3,0.745500
532,3771,4511,obsoletes,41,1,41,1,1.000000
533,2251,4512,obsoletes,92,70,28,6,0.304300
534,2252,4512,obsoletes,73,48,28,3,0.383600
535,2256,4512,obsoletes,47,23,28,4,0.595700
536,3674,4512,obsoletes,30,2,28,0,0.933300
537,2251,4513,obsoletes,90,70,24,4,0.266700
538,2829,4513,obsoletes,41,18,24,1,0.585400
539,2830,4513,obsoletes,38,17,24,3,0.631600
540,2253,4514,obsoletes,54,32,24,2,0.444400
541,2252,4517,obsoletes,66,48,20,2,0.303000
542,2256,4517,obsoletes,40,23,20,3,0.500000
543,2247,4519,updates,37,16,22,1,0.594600
544,2256,4519,obsoletes,42,23,22,3,0.523800
545,3383,4520,obsoletes,46,18,29,1,0.630400
