method,origin,horizon,actual,point,q0_01,q0_025,q0_05,q0_10,q0_15,q0_20,q0_25,q0_30,q0_35,q0_40,q0_45,q0_50,q0_55,q0_60,q0_65,q0_70,q0_75,q0_80,q0_85,q0_90,q0_95,q0_975,q0_99,cov_50,cov_80,cov_90,cov_95,wis,domain,series
conformal,190,1,1.0,2.0,-24.241346153846155,-24.241346153846155,-24.241346153846155,-24.241346153846155,-24.241346153846155,-24.241346153846155,-24.241346153846155,-24.241346153846155,-23.141346153846154,-23.141346153846154,-23.141346153846154,-22.041346153846156,-19.841346153846153,-16.541346153846156,-10.628846153846155,-4.896153846153824,2.158653846153847,11.17019230769231,25.213701923076908,73.31490384615375,147.18677884615397,207.30865384615387,229.74535384615385,1,1,1,,129.49251123076922,flu,flu_10
empirical,190,2,7.0,2.0,-26.626923076923074,-26.626923076923074,-26.626923076923074,-26.626923076923074,-26.626923076923074,-26.626923076923074,-26.626923076923074,-26.626923076923074,-25.426923076923075,-25.426923076923075,-25.006923076923073,-24.226923076923075,-21.826923076923077,-18.706923076923083,-14.626923076923074,-7.1869230769230885,2.1730769230769242,8.89307692307695,21.193076923076898,64.45307692307699,121.93307692307687,202.0030769230769,248.22107692307688,0,1,1,,170.99630692307693,flu,flu_10
conformal,190,2,7.0,2.0,-26.626923076923074,-26.626923076923074,-26.626923076923074,-26.626923076923074,-26.626923076923074,-26.626923076923074,-26.626923076923074,-26.626923076923074,-25.426923076923075,-25.426923076923075,-25.426923076923075,-24.226923076923075,-21.826923076923077,-18.226923076923075,-11.776923076923076,-5.523076923076898,2.1730769230769242,12.003846153846156,27.324038461538443,79.7980769230768,160.38557692307702,225.97307692307692,250.4494769230769,0,1,1,,173.50057169230766,flu,flu_10
empirical,190,4,0.0,2.0,-31.39807692307692,-31.39807692307692,-31.39807692307692,-31.39807692307692,-31.39807692307692,-31.39807692307692,-31.39807692307692,-31.39807692307692,-29.99807692307692,-29.99807692307692,-29.508076923076917,-28.59807692307692,-25.79807692307692,-22.15807692307693,-17.39807692307692,-8.718076923076937,2.201923076923078,10.04192307692311,24.39192307692305,74.86192307692315,141.921923076923,235.33692307692303,289.257923076923,1,1,1,,158.61428115384618,flu,flu_10
conformal,190,4,0.0,2.0,-31.39807692307692,-31.39807692307692,-31.39807692307692,-31.39807692307692,-31.39807692307692,-31.39807692307692,-31.39807692307692,-31.39807692307692,-29.99807692307692,-29.99807692307692,-29.99807692307692,-28.59807692307692,-25.79807692307692,-21.59807692307692,-14.073076923076922,-6.7769230769230475,2.201923076923078,13.671153846153848,31.544711538461513,92.76442307692294,186.7831730769232,263.30192307692306,291.85772307692304,1,1,1,,161.53592338461533,flu,flu_10
empirical,191,1,7.0,0.0,-26.241346153846155,-26.241346153846155,-26.241346153846155,-26.241346153846155,-26.241346153846155,-26.241346153846155,-26.241346153846155,-26.241346153846155,-25.141346153846154,-25.141346153846154,-24.756346153846152,-24.041346153846156,-21.841346153846153,-18.98134615384616,-15.241346153846154,-8.421346153846166,0.15865384615384706,6.318653846153873,17.593653846153828,57.24865384615391,109.93865384615381,183.33615384615385,225.70265384615382,0,1,1,,170.7196275,flu,flu_10
conformal,191,1,7.0,0.0,-26.241346153846155,-26.241346153846155,-26.241346153846155,-26.241346153846155,-26.241346153846155,-26.241346153846155,-26.241346153846155,-26.241346153846155,-25.141346153846154,-25.141346153846154,-25.141346153846154,-24.041346153846156,-21.841346153846153,-18.541346153846156,-12.628846153846155,-6.896153846153824,0.15865384615384706,9.17019230769231,23.213701923076908,71.31490384615375,145.18677884615397,205.30865384615387,227.74535384615385,0,1,1,,172.33385738461536,flu,flu_10
empirical,191,2,1.0,0.0,-28.626923076923074,-28.626923076923074,-28.626923076923074,-28.626923076923074,-28.626923076923074,-28.626923076923074,-28.626923076923074,-28.626923076923074,-27.426923076923075,-27.426923076923075,-27.006923076923073,-26.226923076923075,-23.826923076923077,-20.706923076923083,-16.626923076923074,-9.186923076923089,0.17307692307692404,6.8930769230769515,19.193076923076898,62.453076923076985,119.93307692307687,200.0030769230769,246.22107692307688,0,1,1,,148.99630692307693,flu,flu_10
conformal,191,2,1.0,0.0,-28.626923076923074,-28.626923076923074,-28.626923076923074,-28.626923076923074,-28.626923076923074,-28.626923076923074,-28.626923076923074,-28.626923076923074,-27.426923076923075,-27.426923076923075,-27.426923076923075,-26.226923076923075,-23.826923076923077,-20.226923076923075,-13.776923076923076,-7.523076923076898,0.17307692307692404,10.003846153846156,25.324038461538443,77.7980769230768,158.38557692307702,223.97307692307692,248.4494769230769,0,1,1,,151.50057169230766,flu,flu_10
empirical,191,4,3.0,0.0,-33.39807692307692,-33.39807692307692,-33.39807692307692,-33.39807692307692,-33.39807692307692,-33.39807692307692,-33.39807692307692,-33.39807692307692,-31.99807692307692,-31.99807692307692,-31.508076923076917,-30.59807692307692,-27.79807692307692,-24.15807692307693,-19.39807692307692,-10.718076923076937,0.20192307692307807,8.04192307692311,22.39192307692305,72.86192307692315,139.921923076923,233.33692307692303,287.257923076923,0,1,1,,183.91235807692308,flu,flu_10
conformal,191,4,3.0,0.0,-33.39807692307692,-33.39807692307692,-33.39807692307692,-33.39807692307692,-33.39807692307692,-33.39807692307692,-33.39807692307692,-33.39807692307692,-31.99807692307692,-31.99807692307692,-31.99807692307692,-30.59807692307692,-27.79807692307692,-23.59807692307692,-16.073076923076922,-8.776923076923048,0.20192307692307807,11.671153846153848,29.544711538461513,90.76442307692294,184.7831730769232,261.30192307692306,289.85772307692304,0,1,1,,186.83400030769226,flu,flu_10
empirical,192,1,1.0,1.0,-25.230769230769234,-25.230769230769234,-25.230769230769234,-25.230769230769234,-25.230769230769234,-25.230769230769234,-25.230769230769234,-25.230769230769234,-24.130769230769232,-24.130769230769232,-24.130769230769232,-23.030769230769234,-20.83076923076923,-17.97076923076924,-14.230769230769232,-7.410769230769244,1.1692307692307686,7.3292307692307945,18.60423076923075,58.259230769230825,110.94923076923074,184.34673076923073,226.71323076923076,1,1,1,,131.82258903846156,flu,flu_10
conformal,192,1,1.0,1.0,-25.230769230769234,-25.230769230769234,-25.230769230769234,-25.230769230769234,-25.230769230769234,-25.230769230769234,-25.230769230769234,-25.230769230769234,-24.130769230769232,-24.130769230769232,-24.130769230769232,-23.030769230769234,-20.83076923076923,-17.530769230769234,-11.618269230769233,-5.885576923076902,1.1692307692307686,10.180769230769233,24.22427884615383,72.32548076923068,146.19735576923088,206.31923076923078,228.75593076923082,1,1,1,,133.94491507692308,flu,flu_10
empirical,192,2,0.0,1.0,-27.615384615384617,-27.615384615384617,-27.615384615384617,-27.615384615384617,-27.615384615384617,-27.615384615384617,-27.615384615384617,-27.615384615384617,-26.415384615384614,-26.415384615384614,-26.415384615384614,-25.215384615384615,-22.815384615384616,-19.695384615384622,-15.615384615384617,-8.17538461538463,1.184615384615384,7.904615384615411,20.20461538461536,63.46461538461544,120.94461538461533,201.01461538461533,247.23261538461534,1,1,1,,139.3064607692308,flu,flu_10
conformal,192,2,0.0,1.0,-27.615384615384617,-27.615384615384617,-27.615384615384617,-27.615384615384617,-27.615384615384617,-27.615384615384617,-27.615384615384617,-27.615384615384617,-26.415384615384614,-26.415384615384614,-26.415384615384614,-25.215384615384615,-22.815384615384616,-19.215384615384615,-12.765384615384615,-6.511538461538438,1.184615384615384,11.015384615384615,26.335576923076903,78.80961538461527,159.3971153846155,224.98461538461538,249.4610153846154,1,1,1,,141.62172553846153,flu,flu_10
empirical,192,4,2.0,1.0,-32.38461538461539,-32.38461538461539,-32.38461538461539,-32.38461538461539,-32.38461538461539,-32.38461538461539,-32.38461538461539,-32.38461538461539,-30.984615384615385,-30.984615384615385,-30.984615384615385,-29.584615384615383,-26.784615384615385,-23.144615384615392,-18.384615384615383,-9.704615384615401,1.2153846153846146,9.055384615384646,23.405384615384584,73.87538461538468,140.93538461538455,234.35038461538454,288.27138461538453,0,1,1,,173.05881961538464,flu,flu_10
